2012-02-03 17:22:13,513 | INFO  | Recovery replayed 1 operations from the journal in 0.011 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2012-02-03 17:22:13,520 | INFO  | ActiveMQ 5.5.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2012-02-03 17:22:13,520 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2012-02-03 17:22:13,681 | INFO  | Listening for connections at: tcp://localhost:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2012-02-03 17:22:13,682 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2012-02-03 17:22:13,683 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:wp-appliance-49433-1328289733539-0:1) started | org.apache.activemq.broker.BrokerService | main
2012-02-03 17:22:13,686 | DEBUG | Unable to locate LifecycleProcessor with name 'lifecycleProcessor': using default [org.springframework.context.support.DefaultLifecycleProcessor@94257f] | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:22:18,513 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:18,573 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:23,575 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:23,655 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:28,659 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:28,716 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:33,721 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:33,781 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:38,786 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:38,848 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
